HVH_107_08_000001_000001	皇越律例卷八目録
HVH_107_08_000019_000009	不党盗者减五等並罪
HVH_107_08_000019_000010	若械盗者勿論觉察典此不觉
HVH_107_08_000019_000011	留联按隐能不来此
HVH_107_08_000019_000012	破益官吏皆保公
HVH_107_08_000019_000013	一等
HVH_107_08_000019_000014	故徽背体税罪各職校
HVH_107_08_000019_000015	九非守之人無故不得出入倉库
HVH_107_08_000019_000016	若見有他人從倉庵中出日間祀守
HVH_107_08_000019_000017	人按不行搭拾者答二十此指無盗
HVH_107_08_000019_000018	物者言也若因不按以致其人
HVH_107_08_000019_000019	越律卷八带
HVH_107_08_000019_000020	十八
HVH_107_08_000019_000021	发章不觉供
HVH_107_08_000019_000022	内含库中物面不觉者盗罪二学
HVH_107_08_000019_000023	若夜問更少人不覺破益者減盗
HVH_107_08_000019_000024	罪三等其非更之人几在倉厚
HVH_107_08_000019_000025	宿之官斗我库于不觉融盗者减
HVH_107_08_000019_000026	的故不即追者典益阿罪至
HVH_107_08_000019_000027	北象一等若饮益
HVH_107_08_000020_000001	守支钱程及擅開官封
HVH_107_08_000020_000002	九倉庫官攒斗級庫子役得代
HVH_107_08_000020_000003	不得
HVH_107_08_000020_000004	非去
HVH_107_08_000020_000005	所
HVH_107_08_000020_000006	收钱粮官物并令守支書絶若無
HVH_107_08_000020_000007	军家
HVH_107_08_000020_000008	斗库
HVH_107_08_000020_000009	其有應合
HVH_107_08_000020_000010	相治交割文物聽提调官吏監臨盤點
HVH_107_08_000020_000011	見数不得指厥指庫交割違者各杖一
HVH_107_08_000020_000012	百若
HVH_107_08_000020_000013	官物有印封記其主典不
HVH_107_08_000020_000014	所妆
HVH_107_08_000020_000015	請原封官司
HVH_107_08_000020_000016	网
HVH_107_08_000020_000017	视
HVH_107_08_000020_000018	而擅開者杖六十
HVH_107_08_000020_000019	支盘
HVH_107_08_000020_000020	其守
HVH_107_08_000020_000021	影及控各有侵盗等
HVH_107_08_000020_000022	者俱從重論追入官
HVH_107_08_000020_000023	官謂倉库官典提失也官應日任
HVH_107_08_000020_000024	應日役满斗级库子则有退役
HVH_107_08_000020_000025	之胖無役满之限此官斗庫止言
HVH_107_08_000020_000026	皇越律例
HVH_107_08_000020_000027	卷八律
HVH_107_08_000020_000028	役者省文也官横斗库有医守
HVH_107_08_000020_000029	十九
HVH_107_08_000020_000030	中局及用官对
HVH_107_08_000020_000031	庫之貴役满難得更代而該年所收
HVH_107_08_000020_000032	钱官物逮见数交整並令守侯
HVH_107_08_000020_000033	放支書若無短少官方許各離
HVH_107_08_000020_000034	職役斗車方許家若非經妆放友
HVH_107_08_000020_000035	食根其有期合相治交代之物如损
HVH_107_08_000020_000036	时米鼓附徐钱报及寄存倉库入官
HVH_107_08_000020_000037	威物之颠聽联提調官使監臨盤查
HVH_107_08_000020_000038	驗點逐一见数明白交與替代之人
HVH_107_08_000020_000039	接管不得但措某展某庫钱粮官物
HVH_107_08_000020_000040	之数虚文行移私相交割恐有侵欺
HVH_107_08_000020_000041	盗用借贷那移抵换等弊监守既易
HVH_107_08_000020_000042	互相推闲也若建此律不守支而離
HVH_107_08_000020_000043	職後不整面交制者各教一百
HVH_107_08_000020_000044	宇指提調官吏程收交代官攒人等
HVH_107_08_000020_000045	也若牧官一官物有邱記者
HVH_107_08_000020_000046	所以防侵盗抵换也其主守之人若
HVH_107_08_000020_000047	不請原封衙阴驗观
HVH_107_08_000020_000048	面瘦開者杖大十
HVH_107_08_000021_000001	纳官物有
HVH_107_08_000021_000002	几倉庫出纳官物當出陳物而新物
HVH_107_08_000021_000003	价
HVH_107_08_000021_000004	则
HVH_107_08_000021_000005	有多應受上物而受下物
HVH_107_08_000021_000006	除
HVH_107_08_000021_000007	價有之類
HVH_107_08_000021_000008	欠
HVH_107_08_000021_000009	及有司和和買不即給價給
HVH_107_08_000021_000010	罪止杖一百徒三
HVH_107_08_000021_000011	崔养克私用放
HVH_107_08_000021_000012	年践分入官给主
HVH_107_08_000021_000013	若應給俸未及
HVH_107_08_000021_000014	期而像給者罪亦知之。其臨官吏
HVH_107_08_000021_000015	皇越律例卷八律
HVH_107_08_000021_000016	上知而不举與同罪不知者不生
HVH_107_08_000021_000017	論
HVH_107_08_000021_000018	二十
HVH_107_08_000021_000019	司的官物有莲
HVH_107_08_000021_000020	点陈物面出新物知启粮不换床
HVH_107_08_000021_000021	支放而先肖新较之感受上物而
HVH_107_08_000021_000022	爱下物如正不收相音面受薄
HVH_107_08_000021_000023	之颇日之额者舉一二以例其也
HVH_107_08_000021_000024	和平也和催和謂有公面以
HVH_107_08_000021_000025	通一节言之欠者所定下物之
HVH_107_08_000021_000026	减不如崔買时恒實版也欠多
HVH_107_08_000021_000027	少干上物催员未即给價興减不
HVH_107_08_000021_000028	實等数是也多徐者所新物之
HVH_107_08_000021_000029	重于陳物程员增假不實等教是也
HVH_107_08_000021_000030	玩車出的自有期有司人
HVH_107_08_000021_000031	工器具員用一磨物當依實價
HVH_107_08_000021_000032	价值不诚不實则必有欠多
HVH_107_08_000021_000033	给若渐陳上下出运
HVH_107_08_000021_000034	除之弊故計所多除之数坐胜
HVH_107_08_000021_000035	季給者须在本秀之内未反期而
HVH_107_08_000021_000036	先船如正月而二三月之
HVH_107_08_000021_000037	季而给夏秋之体是也亦计断
HVH_107_08_000021_000038	.
HVH_107_08_000022_000001	都文数坐論
HVH_107_08_000022_000002	知者不坐通
HVH_107_08_000022_000003	究不之
HVH_107_08_000022_000004	各脚人
HVH_107_08_000022_000005	人及有
HVH_107_08_000022_000006	承上二
HVH_107_08_000022_000007	皇越律
HVH_107_08_000022_000008	卷八手
HVH_107_08_000022_000009	内韵官物有建
HVH_107_08_000022_000010	0
HVH_107_08_000023_000001	收支留
HVH_107_08_000023_000002	二宁
HVH_107_08_000023_000003	留難刁蹬不即收支者一日答五十
HVH_107_08_000023_000004	三日加一等罪止杖六十徒一年0守
HVH_107_08_000023_000005	門人留難者
HVH_107_08_000023_000006	不放入
HVH_107_08_000023_000007	計日論
HVH_107_08_000023_000008	罪亦如之若颌
HVH_107_08_000023_000009	亨收支者答四十
HVH_107_08_000023_000010	官物装一想钱等物言危各简
HVH_107_08_000023_000011	收支官物其當官使故将物
HVH_107_08_000023_000012	物之人智才当收者不
HVH_107_08_000023_000013	受當歧者不即友给敌守候报
HVH_107_08_000023_000014	公事阻滞故前日論一日答五十
HVH_107_08_000023_000015	每三日加一等至十九日以上罪止
HVH_107_08_000023_000016	杖大十纯一年。当门人後留難不
HVH_107_08_000023_000017	皇越律创
HVH_107_08_000023_000018	春
HVH_107_08_000023_000019	放八者與收支群者舞異故亦
HVH_107_08_000023_000020	部日前如官使之罪。者的物创物
HVH_107_08_000023_000021	二十二
HVH_107_08_000023_000022	农夫自
HVH_107_08_000023_000023	之人到
HVH_107_08_000023_000024	饮其先
HVH_107_08_000023_000025	为次序用掩越
HVH_107_08_000023_000026	平故答四十
HVH_107_08_000024_000001	起解金银足色
HVH_107_08_000024_000002	儿收受
HVH_107_08_000024_000003	纳
HVH_107_08_000024_000004	官
HVH_107_08_000024_000005	諸色課程變賣貨物起金銀
HVH_107_08_000024_000006	须要足色如成色不及分数提調官更
HVH_107_08_000024_000007	及右計
HVH_107_08_000024_000008	照证
HVH_107_08_000024_000009	人匠各答四十著落均赔纳官
HVH_107_08_000024_000010	官有监守知情
HVH_107_08_000024_000011	通阿故不收足色至赋险
HVH_107_08_000024_000012	诸色课程如精商瓷各银之
HVH_107_08_000024_000013	類费货物如抄设入官諸物照
HVH_107_08_000024_000014	爱惯之金銀成色必足十分不及
HVH_107_08_000024_000015	分数不足十分成色
HVH_107_08_000024_000016	之激也人指
HVH_107_08_000024_000017	佑計領銷人成色
HVH_107_08_000024_000018	不足提調官吏
HVH_107_08_000024_000019	與人医均故各四十著落
HVH_107_08_000024_000020	均赔黑不反
HVH_107_08_000024_000021	分款足
HVH_107_08_000024_000022	皇越律创
HVH_107_08_000024_000023	一卷八帮
HVH_107_08_000024_000024	三十三
HVH_107_08_000024_000025	龙爵金銀足色
HVH_107_08_000025_000001	损壞倉库财为
HVH_107_08_000025_000002	九倉庫反積聚财物主之人安置不加
HVH_107_08_000025_000003	法晾不以時致有損壞者計所損壞
HVH_107_08_000025_000004	之物坐論
HVH_107_08_000025_000005	罪止被一
HVH_107_08_000025_000006	百三年
HVH_107_08_000025_000007	著落均赔
HVH_107_08_000025_000008	官若率遇内水衡收失火延烧
HVH_107_08_000025_000009	岸内
HVH_107_08_000025_000010	若舍
HVH_107_08_000025_000011	八十二年盈賊
HVH_107_08_000025_000012	失火自依本律
HVH_107_08_000025_000013	分强
HVH_107_08_000025_000014	灯
HVH_107_08_000025_000015	韧拿事出不
HVH_107_08_000025_000016	测而有损失者委官保勘覆苏明
HVH_107_08_000025_000017	借貸那移之数乘其水火盗賊捏
HVH_107_08_000025_000018	案反扣换交单籍再申報官
HVH_107_08_000025_000019	先本
HVH_107_08_000025_000020	局佳
HVH_107_08_000025_000021	者重計户監字自盗論同僚知而不
HVH_107_08_000025_000022	卷八
HVH_107_08_000025_000023	二十四
HVH_107_08_000025_000024	车财物
HVH_107_08_000025_000025	舉者與同罪不知者不坐
HVH_107_08_000025_000026	无含庫及横聚财物之所皆有主
HVH_107_08_000025_000027	守责合收掌若王守之人安置不知
HVH_107_08_000025_000028	法覆惊不以有损伤堤烟通在
HVH_107_08_000025_000029	怎您举有好劳計所据之物坐
HVH_107_08_000025_000030	军均暗测含若车遇水火益
HVH_107_08_000025_000031	事内不倒有所损失者意不及料力
HVH_107_08_000025_000032	不能制背未王字之遇包委白
HVH_107_08_000025_000033	免罪不腊其字占平特有侵
HVH_107_08_000025_000034	欺借贷那之最乘水火益之
HVH_107_08_000025_000035	事而国以奸虚文及和单
HVH_107_08_000025_000036	再将的设款等项作夫中兼
HVH_107_08_000025_000037	肖免本罪用與益何其断備
HVH_107_08_000025_000038	之為胜以自满若
HVH_107_08_000025_000039	清而扶同不舉者與本观同举至
HVH_107_08_000025_000040	诚一毕不邀署文素而不知者不
HVH_107_08_000026_000001	轉解官物
HVH_107_08_000026_000002	九谷處徵收钱帛買辨单需成造軍器等
HVH_107_08_000026_000003	物所在州縣交收差有職役人员陸續
HVH_107_08_000026_000004	類解本府若本府不即交收差人轉解
HVH_107_08_000026_000005	勒今
HVH_107_08_000026_000006	今
HVH_107_08_000026_000007	布政司不即交收勒合各府就解部者
HVH_107_08_000026_000008	提調正官首领官吏典罪亦如之
HVH_107_08_000026_000009	若
HVH_107_08_000026_000010	行
HVH_107_08_000026_000011	脆長不2其起運
HVH_107_08_000026_000012	用此岸
HVH_107_08_000026_000013	顶
HVH_107_08_000026_000014	前
HVH_107_08_000026_000015	官物長押官及
HVH_107_08_000026_000016	解物人安置不如法致有损失者計所
HVH_107_08_000026_000017	损失之物坐賊論着落均賠僧官若船
HVH_107_08_000026_000018	皇越律侧
HVH_107_08_000026_000019	一卷八元五
HVH_107_08_000026_000020	尊薪官制
HVH_107_08_000026_000021	行卒遇风及失火延燒或賊劫
HVH_107_08_000026_000022	李事出不测而有损失者申告所在官
HVH_107_08_000026_000023	司委官保勘覆實跡明白免罪不赔
HVH_107_08_000026_000024	若有優欺者
HVH_107_08_000026_000025	不输有
HVH_107_08_000026_000026	损失事故
HVH_107_08_000026_000027	計赋以監守自
HVH_107_08_000026_000028	盗諭。若起運官物不運本色而
HVH_107_08_000026_000029	寳财貨所纳去處收買納官者亦計
HVH_107_08_000026_000030	首言续自平需单器等物征收
HVH_107_08_000026_000031	造日差员铁解本府府
HVH_107_08_000026_000032	差解提委其于州面重累之
HVH_107_08_000026_000033	各林入十若管镇官印勤合各麻原
HVH_107_08_000026_000034	差解部是委其勞于府面重之
HVH_107_08_000027_000001	本司之首须官承行各如
HVH_107_08_000027_000002	八十之罪0次節言起逆官之
HVH_107_08_000027_000003	長押官解物人置损失及水火
HVH_107_08_000027_000004	益賊若有畏斯者其法悉與前條损
HVH_107_08_000027_000005	已承領起遵即主守之人末
HVH_107_08_000027_000006	者皆取土産人工之以图用也
HVH_107_08_000027_000007	两货标别物象则圆輕责以省脚
HVH_107_08_000027_000008	價别物則圖叛費以取盈除借官物
HVH_107_08_000027_000009	易利
HVH_107_08_000027_000010	之計也
HVH_107_08_000027_000011	條例
HVH_107_08_000027_000012	一漂没船撞著落途各守所文武官员
HVH_107_08_000027_000013	親勘實各出保結取具運官結杖
HVH_107_08_000027_000014	律例一卷八户律
HVH_107_08_000027_000015	十六
HVH_107_08_000027_000016	鸭群官物
HVH_107_08_000027_000017	营确察具题察免若增官军水次
HVH_107_08_000027_000018	折乾途盗自度粮米短少故将船
HVH_107_08_000027_000019	放失漂流及雖像漂流损失不多乘
HVH_107_08_000027_000020	侵匿作全数贈有司官更扶同奏
HVH_107_08_000027_000021	勘者前後船及地方居民有能覺察
HVH_107_08_000027_000022	告首督通官司查貴给赏輕查銀十两
HVH_107_08_000027_000023	官軍侵盗至六百石者捷斬不反六百
HVH_107_08_000027_000024	石者是克軍治途各守所文武官
HVH_107_08_000027_000025	不親臨確勘的實出保結者革職鎖
HVH_107_08_000027_000026	营不最察确實行题豁事發交部
HVH_107_08_000027_000027	所虧米数仍行原官将故失侵控
HVH_107_08_000028_000001	之人家產變賣抵償不許輕扣别軍月
HVH_107_08_000028_000002	前後蒂船知而不舉一體連坐仍於
HVH_107_08_000028_000003	正犯所欠钱粮内责令帮赔十分之三
HVH_107_08_000028_000004	一連粮官軍人等犯該人命强盗等项重
HVH_107_08_000028_000005	罪者官拘繫奏提軍人等即便提問其
HVH_107_08_000028_000006	餘一切小事假交粮畢日結
HVH_107_08_000028_000007	一漕船沿途所在营地辖照定限時日
HVH_107_08_000028_000008	令出境如有建限将督催押運领運
HVH_107_08_000028_000009	员人俱交該部照创分别議處有非
HVH_107_08_000028_000010	常風阻俱令查貴报明免其議處
HVH_107_08_000028_000011	皇越律例卷八户律二十七
HVH_107_08_000028_000012	等解宫物
HVH_107_08_000029_000001	疑断賊罰不常
HVH_107_08_000029_000002	九捷斷賊罰财物應入官而給主及應給
HVH_107_08_000029_000003	主而入官者坐贼論罪止杖一百
HVH_107_08_000029_000004	儿感物官德船主者样俱名例
HVH_107_08_000029_000005	船度赋物律若提断赋财物誤
HVH_107_08_000029_000006	應入官面拾主應裕主面入官维皆
HVH_107_08_000029_000007	非去然止一精之借而無入已之
HVH_107_08_000029_000008	谢其错船备入财物
HVH_107_08_000029_000009	赋論拜罪止杖一百
HVH_107_08_000029_000010	二惩律倒
HVH_107_08_000029_000011	卷人
HVH_107_08_000029_000012	善斯贼不赏
HVH_107_08_000030_000001	守掌在官财物
HVH_107_08_000030_000002	元官物當應給付與人已出倉庫而未給
HVH_107_08_000030_000003	付若私物当供官用送在官而未
HVH_107_08_000030_000004	倉庫
HVH_107_08_000030_000005	中常之人
HVH_107_08_000030_000006	官司委众
HVH_107_08_000030_000007	若有侵欺借贷者計以蓝守自
HVH_107_08_000030_000008	里纳保敏各照隐匿仓揽数
HVH_107_08_000030_000009	官取财科断不得樂用此律
HVH_107_08_000030_000010	一處官物當應給付與人者已經取
HVH_107_08_000030_000011	私物当應供送官用者已经在
HVH_107_08_000030_000012	官面未入倉库亦是官物知官司委
HVH_107_08_000030_000013	牌會库而未及格付销是官物一
HVH_107_08_000030_000014	人守掌而守学之人若有侵欺信
HVH_107_08_000030_000015	星越律例
HVH_107_08_000030_000016	卷八
HVH_107_08_000030_000017	二十九
HVH_107_08_000030_000018	中学在官财物
HVH_107_08_000030_000019	者进部食借之数為贼以盛守自益
HVH_107_08_000030_000020	蓋承安守即是王守之人夫
HVH_107_08_000031_000001	隐瞒入官家産
HVH_107_08_000031_000002	九抄沒人口财產除謀反謀叛及姦党
HVH_107_08_000031_000003	年十恶依律抄没其有犯律不診载
HVH_107_08_000031_000004	者妻子财産不在抄没人官之限莲者
HVH_107_08_000031_000005	依故入人流罪論
HVH_107_08_000031_000006	抄没尚未入官作
HVH_107_08_000031_000007	未入官各诚一等
HVH_107_08_000031_000008	。
HVH_107_08_000031_000009	若抄入官家產而隐瞒人口不報者
HVH_107_08_000031_000010	計口以隱瞒丁口論若隱瞒田土者計
HVH_107_08_000031_000011	田以欺隐田粮論若隐購财物房屋
HVH_107_08_000031_000012	畜者坐贼論各罪止杖一百所隐人口
HVH_107_08_000031_000013	财産並入官罪坐供報之人
HVH_107_08_000031_000014	所隐之人
HVH_107_08_000031_000015	口不坐不
HVH_107_08_000031_000016	之丁口财産也
HVH_107_08_000031_000017	重者以自
HVH_107_08_000031_000018	若里長同情隱購及
HVH_107_08_000031_000019	皇越律例
HVH_107_08_000031_000020	卷八九章
HVH_107_08_000031_000021	三十
HVH_107_08_000031_000022	隐财人官象産
HVH_107_08_000031_000023	當該官吏知情者與同罪計所隱賊
HVH_107_08_000031_000024	重者坐贼全科0受财者計
HVH_107_08_000031_000025	百
HVH_107_08_000031_000026	以枉法各徒重論
HVH_107_08_000031_000027	分有脉無
HVH_107_08_000031_000028	舉者我三等罪止五十
HVH_107_08_000031_000029	几抄没人口财崖乃意恶典身
HVH_107_08_000031_000030	正法未書版辜故夜有称坐之
HVH_107_08_000031_000031	法维反叛赢党係在十恶则依本律
HVH_107_08_000031_000032	抄没其有把律不被载者本犯之
HVH_107_08_000031_000033	此
HVH_107_08_000031_000034	家像是陪骗事人
HVH_107_08_000031_000035	罪雄重妻子财產不得虚凝抄没建
HVH_107_08_000031_000036	者以故入人流罪输杖一百蔬三千
HVH_107_08_000031_000037	俯丁口
HVH_107_08_000031_000038	起款
HVH_107_08_000031_000039	新不同埭
HVH_107_08_000031_000040	同面加等
HVH_107_08_000031_000041	里若律抄制入官家産而供報
HVH_107_08_000031_000042	丁口律输一口至三口杖六十每三
HVH_107_08_000031_000043	之人隐人口不報者口以隐通
HVH_107_08_000031_000044	自各
HVH_107_08_000031_000045	本
HVH_107_08_000031_000046	律
HVH_107_08_000031_000047	口加一等隐瞒间土不報者贰以
HVH_107_08_000031_000048	欺用粮律論一献至五式答四十
HVH_107_08_000031_000049	每五前加一等隐購财物房星单
HVH_107_08_000031_000050	不者作所位坐底输此三项並
HVH_107_08_000031_000051	罪止杖一百则人丁十五中以上
HVH_107_08_000032_000001	土三十五单以上坐脏八十两以上
HVH_107_08_000032_000002	也所隐人口财産並追入官坐原
HVH_107_08_000032_000003	供報不贵之人。若里長典供報之
HVH_107_08_000032_000004	人同情聯及當官吏知有隐腾
HVH_107_08_000032_000005	之情面不完典把人同口叛
HVH_107_08_000032_000006	隐座赃之罪仍部所隐财物房屋
HVH_107_08_000032_000007	畜之賊至八十两以上罪重于杖一
HVH_107_08_000032_000008	百者全至放一有徒三年不似消
HVH_107_08_000032_000009	口隐田罪止于杖百也。若电長
HVH_107_08_000032_000010	官吏受财而為之隐者路洪
HVH_107_08_000032_000011	已之贼分有無禄人以枉秩各
HVH_107_08_000032_000012	重論賊罪重于杖一百及座全科
HVH_107_08_000032_000013	者则從托法鞋則仍徙本律若無同
HVH_107_08_000032_000014	情知肯受财等事止是一時失于覺
HVH_107_08_000032_000015	者各诚供报人罪
HVH_107_08_000032_000016	三等罪止笞五十
HVH_107_08_000032_000017	徐侧
HVH_107_08_000032_000018	一九罪犯入官财產止應者落正把追取
HVH_107_08_000032_000019	倘正犯将無干之人肆行者從重
HVH_107_08_000032_000020	皇越律例一卷八作三十
HVH_107_08_000032_000021	葛入官家
HVH_107_08_000032_000022	治罪仍著落伊身追取承察追各官
HVH_107_08_000032_000023	加徇庇正犯施累無干之人亦交與該
HVH_107_08_000032_000024	部嚴加象
HVH_107_08_000032_000025	一九欠帑人员或因獨力難賠或因產盡
HVH_107_08_000032_000026	無着遂将分居别業之弟兄親族並不
HVH_107_08_000032_000027	知情之親友旁人巧借認帮名目善
HVH_107_08_000032_000028	株连勒合赔補者将承备承追各官均
HVH_107_08_000032_000029	照違
HVH_107_08_000032_000030	制治罪
HVH_107_08_000032_000031	一九空入官房地内知有填地及填园
HVH_107_08_000032_000032	内房屋看墳人口祭田産俱给回本
HVH_107_08_000033_000001	人免其人官變僧
HVH_107_08_000033_000002	皇越律例
HVH_107_08_000033_000003	卷八三十
HVH_107_08_000033_000004	幽腾入官度
HVH_107_08_000034_000001	課程
HVH_107_08_000034_000002	課有多寡加能利之有程限也
HVH_107_08_000034_000003	者税物之我程者能物有贵
HVH_107_08_000034_000004	i
HVH_107_08_000034_000005	匿税
HVH_107_08_000034_000006	九客商匿税不纳課程者答五十物貨一
HVH_107_08_000034_000007	牛人官於入官物内以十分為率三分
HVH_107_08_000034_000008	付告人克賞務官捌自獲者不賞入
HVH_107_08_000034_000009	門不弔引同匿税法
HVH_107_08_000034_000010	尚匠入周門必光
HVH_107_08_000034_000011	取官监单借蹈
HVH_107_08_000034_000012	货物其书
HVH_107_08_000034_000013	例照货起税
HVH_107_08_000034_000014	客商之货應的若其负就不的
HVH_107_08_000034_000015	分之三告人務官自使者
HVH_107_08_000034_000016	不赏以其職分所当然也古制货
HVH_107_08_000034_000017	有朋貨入阴門而不予原與税
HVH_107_08_000034_000018	新
HVH_107_08_000034_000019	皇越律侧
HVH_107_08_000034_000020	卷八户章
HVH_107_08_000034_000021	三十三
HVH_107_08_000034_000022	腰
HVH_107_08_000035_000001	舶商匿货
HVH_107_08_000035_000002	几泛海客商舶
HVH_107_08_000035_000003	大
HVH_107_08_000035_000004	船到岸即将貨物盡實
HVH_107_08_000035_000005	報官抽分者停场沿港土商牙會之家
HVH_107_08_000035_000006	不報者杖一百雖供報而不書實罪亦
HVH_107_08_000035_000007	如之
HVH_107_08_000035_000008	不物貨业入官停藏人
HVH_107_08_000035_000009	不之
HVH_107_08_000035_000010	同罪告復者官给赏银二十两
HVH_107_08_000035_000011	海客商所外番之货其船大
HVH_107_08_000035_000012	其多必盡数报官照例抽分若
HVH_107_08_000035_000013	治港土商牙會之家而不報者
HVH_107_08_000035_000014	执一百雖轻供报到官而隐缩不益
HVH_107_08_000035_000015	者罪亦如其不報不盡背物主
HVH_107_08_000035_000016	想入官停藏之人同一百之若
HVH_107_08_000035_000017	有人吉告連人送
HVH_107_08_000035_000018	者官洽银二十
HVH_107_08_000035_000019	皇越律创
HVH_107_08_000035_000020	卷八三十四
HVH_107_08_000035_000021	商防货
HVH_107_08_000035_000022	一
HVH_107_08_000036_000001	錢償
HVH_107_08_000036_000002	建禁取利
HVH_107_08_000036_000003	九私放錢债及典当財物每月取利並不
HVH_107_08_000036_000004	得過三分年月维多不過一本一利違
HVH_107_08_000036_000005	者笞四十以徐利計重
HVH_107_08_000036_000006	者坐
HVH_107_08_000036_000007	四十
HVH_107_08_000036_000008	論罪止杖一百。若監臨官吏於所部
HVH_107_08_000036_000009	舉放錢债典當财物者
HVH_107_08_000036_000010	利有犯脚
HVH_107_08_000036_000011	不必多取像
HVH_107_08_000036_000012	者依不枉法論
HVH_107_08_000036_000013	路注者通等折半科罪
HVH_107_08_000036_000014	有人三十两無人
HVH_107_08_000036_000015	一等罪止杖一百流三千里
HVH_107_08_000036_000016	给主
HVH_107_08_000036_000017	越律创
HVH_107_08_000036_000018	一卷八律三十五
HVH_107_08_000036_000019	注示取列
HVH_107_08_000036_000020	五两以上三月答一十每一月加一
HVH_107_08_000036_000021	等罪止答四十五十两以上三月答
HVH_107_08_000036_000022	二十每一月加一等罪止答五十百两
HVH_107_08_000036_000023	以上建三月答三十每一月加一等罪
HVH_107_08_000036_000024	止六十量追本利給主0若豪势之
HVH_107_08_000036_000025	人
HVH_107_08_000036_000026	莲约
HVH_107_08_000036_000027	負债者
HVH_107_08_000036_000028	不告官司以私債强奪去人
HVH_107_08_000036_000029	华畜産業者杖人十聪不
HVH_107_08_000036_000030	多取若佑
HVH_107_08_000036_000031	之
HVH_107_08_000036_000032	十者
HVH_107_08_000036_000033	杖八
HVH_107_08_000036_000034	坐赋論
HVH_107_08_000036_000035	百徒三年
HVH_107_08_000036_000036	止杖一
HVH_107_08_000036_000037	依多数追间
HVH_107_08_000036_000038	加
HVH_107_08_000036_000039	一年半
HVH_107_08_000037_000001	姦占婦女者款
HVH_107_08_000037_000002	折之
HVH_107_08_000037_000003	溢侯所秀
HVH_107_08_000037_000004	人口給親私
HVH_107_08_000037_000005	债免追
HVH_107_08_000037_000006	放典常以通获急之用取利之中
HVH_107_08_000037_000007	有相之我然心有乘人之急而
HVH_107_08_000037_000008	利新变者亦必有還欠建贫顺不
HVH_107_08_000037_000009	利值富取和之
HVH_107_08_000037_000010	及利其本者答四十例
HVH_107_08_000037_000011	答四十從前至八十以土
HVH_107_08_000037_000012	止放一百。者官吏所部之
HVH_107_08_000037_000013	皇选律例
HVH_107_08_000037_000014	卷八户律
HVH_107_08_000037_000015	三十六
HVH_107_08_000037_000016	取利
HVH_107_08_000037_000017	内舉旅奥部民部長之财
HVH_107_08_000037_000018	都取不和故给主其民
HVH_107_08_000037_000019	止四十五十两以上答二十罪止
HVH_107_08_000037_000020	基豪觉劳要之人私放债因其
HVH_107_08_000037_000021	递
HVH_107_08_000037_000022	为不回不館同面待棒去次
HVH_107_08_000037_000023	人学畜庭者杖八
HVH_107_08_000037_000024	若估所
HVH_107_08_000037_000025	拿债
HVH_107_08_000037_000026	畜虚之價過分應回本剂
HVH_107_08_000037_000027	之者
HVH_107_08_000037_000028	则計
HVH_107_08_000038_000001	直於杖八應從論依所多之
HVH_107_08_000038_000002	追回主不言准访音座票者所
HVH_107_08_000038_000003	久本利源應回畜座價色相当
HVH_107_08_000038_000004	此情自弗前也若人之妻
HVH_107_08_000038_000005	接子女则非畜產之比可以准折回
HVH_107_08_000038_000006	偿者若豪势以读而準折久债人
HVH_107_08_000038_000007	婦女者人口拾親償免追此二
HVH_107_08_000038_000008	向承上华新
HVH_107_08_000038_000009	强摩而言
HVH_107_08_000038_000010	條例
HVH_107_08_000038_000011	一聽送官吏生人等借債與價主及保
HVH_107_08_000038_000012	人同赴任所取償至五十两以上借者
HVH_107_08_000038_000013	革職债主及保人各號一月發落
HVH_107_08_000038_000014	债追八官
HVH_107_08_000038_000015	皇越律例卷八三十七
HVH_107_08_000038_000016	建業利
HVH_107_08_000039_000001	费用受寄财産
HVH_107_08_000039_000002	九受寄人财物畜產而費用者坐賊
HVH_107_08_000039_000003	致罪律
HVH_107_08_000039_000004	减一等
HVH_107_08_000039_000005	止被九十詐言死
HVH_107_08_000039_000006	徒二年牛
HVH_107_08_000039_000007	失者准窃盗論减一等
HVH_107_08_000039_000008	徒三年免刺
HVH_107_08_000039_000009	追物回主其被水火盗賊费失及畜産
HVH_107_08_000039_000010	病死有顯跡者勿論
HVH_107_08_000039_000011	若爱寄财畜而
HVH_107_08_000039_000012	匿不認作骗牌
HVH_107_08_000039_000013	如以産案轉他人户下而為
HVH_107_08_000039_000014	所责失自有寄盗赏本峰
HVH_107_08_000039_000015	九爱人请托之财物畜産而常
HVH_107_08_000039_000016	周者有信回之心非遂先按文也
HVH_107_08_000039_000017	离监論藏一等益受寄之物原在其
HVH_107_08_000039_000018	家與取当外者稍有不同故坐胜准
HVH_107_08_000039_000019	盗皆减一等並追物回主承要用及
HVH_107_08_000039_000020	非言死失二语言其所寄财物畜産
HVH_107_08_000039_000021	皇越律例卷八户律
HVH_107_08_000039_000022	三十八
HVH_107_08_000039_000023	用受财意
HVH_107_08_000039_000024	若被水火盗賊费失及病死各有
HVH_107_08_000039_000025	可被者勿不坐罪亦不违赔事
HVH_107_08_000039_000026	出不测非灸
HVH_107_08_000039_000027	肯者之過也
HVH_107_08_000040_000001	得遗失物
HVH_107_08_000040_000002	允得遗失之物限五送官官物
HVH_107_08_000040_000003	私物召人識認於内一牛給與得物人
HVH_107_08_000040_000004	克赏一半給回失物人知三十日内無
